Ticker,Date/Time,open,high,low,close,volume
ACWI,03/01/2023,85.51000213623047,86.0199966430664,84.4000015258789,84.9000015258789,13272000
ACWI,04/01/2023,85.81999969482422,86.27999877929688,85.11000061035156,85.9800033569336,5696300
ACWI,05/01/2023,85.41999816894531,85.5199966430664,84.91999816894531,85.0999984741211,8268000
SPY,03/01/2023,384.3699951171875,386.42999267578125,377.8299865722656,380.82000732421875,74850700
SPY,04/01/2023,383.17999267578125,385.8800048828125,380.0,383.760009765625,85934100
SPY,05/01/2023,381.7200012207031,381.8399963378906,378.760009765625,379.3800048828125,76641100
AAXJ,03/01/2023,65.77999877929688,66.26000213623047,65.41999816894531,65.66999816894531,654300
AAXJ,04/01/2023,67.05000305175781,67.97000122070312,66.70999908447266,67.91999816894531,515200
AAXJ,05/01/2023,67.5199966430664,67.72000122070312,67.23999786376953,67.55999755859375,1115700
TDEX.BK,03/01/2023,10.0600004196167,10.0600004196167,10.0,10.0600004196167,1447400
TDEX.BK,04/01/2023,10.0,10.050000190734863,9.970000267028809,9.970000267028809,104400
TDEX.BK,05/01/2023,10.0,10.0,9.90999984741211,9.960000038146973,288300
TDEX.BK,06/01/2023,9.979999542236328,10.010000228881836,9.970000267028809,9.989999771118164,134858
